iter	RMSE
0	71.95963985
1	71.69180917
2	71.47301895
3	71.2955988
4	71.14539614
5	71.02376436
6	70.92731333
7	70.84740139
8	70.78313734
9	70.72771385
10	70.6848454
11	70.64853649
12	70.61999534
13	70.59610704
14	70.57688701
15	70.5605948
16	70.54712003
17	70.53530723
18	70.52515415
19	70.51706181
20	70.51045628
21	70.50500226
22	70.50078605
23	70.4970488
24	70.49395777
25	70.49143415
26	70.48938478
27	70.48778609
28	70.48635912
29	70.48529368
30	70.48419427
31	70.48328292
32	70.48260316
33	70.48185946
34	70.48107856
35	70.48055414
36	70.48002541
37	70.479571
38	70.47905448
39	70.47862236
40	70.4783687
41	70.47804716
42	70.47778424
43	70.4776553
44	70.47742359
45	70.47726312
46	70.47696442
47	70.47679509
48	70.47667175
49	70.47654996
50	70.47611372
51	70.47594482
52	70.47580849
53	70.47555855
54	70.4755125
55	70.47526522
56	70.47499017
57	70.47490161
58	70.47483712
59	70.4747659
60	70.47437417
61	70.47415372
62	70.47404135
63	70.47394499
64	70.47343981
65	70.47324804
66	70.47312097
67	70.47298594
68	70.47290384
69	70.47264106
70	70.47237378
71	70.47217311
72	70.47191765
73	70.47153129
74	70.4713418
75	70.47130083
76	70.47122179
77	70.47116555
78	70.47100163
79	70.47087966
80	70.47081087
81	70.47060572
82	70.47054081
83	70.47051591
84	70.47049347
85	70.47045949
86	70.47027118
87	70.47021089
88	70.47004627
89	70.46991755
90	70.46984737
91	70.46971266
92	70.46957663
93	70.46937187
94	70.46935155
95	70.46925559
96	70.46916553
97	70.468711
98	70.46856385
99	70.46837864
100	70.46836805
101	70.46834573
102	70.46824924
103	70.46816893
104	70.46804894
105	70.46795284
106	70.46784603
107	70.4677305
108	70.46760799
109	70.46743111
110	70.46734469
111	70.4672227
112	70.46716459
113	70.46669785
114	70.46659177
115	70.46652813
116	70.4664078
117	70.46621053
118	70.46617406
119	70.46614521
120	70.46611878
121	70.46597597
122	70.46588654
123	70.46583361
124	70.46551874
125	70.46526054
126	70.46514333
127	70.46499933
128	70.46481111
129	70.46467473
130	70.46433756
131	70.46417009
132	70.46395368
133	70.4637246
134	70.4634692
135	70.46320941
136	70.46291674
137	70.46270006
138	70.46248197
139	70.46217356
140	70.46200311
141	70.46164687
142	70.46158512
143	70.46136597
144	70.46119677
145	70.4609443
146	70.46069291
147	70.46038746
148	70.46025624
149	70.46003918
150	70.45967341
151	70.45937285
152	70.45912252
153	70.45884951
154	70.45864364
155	70.45848416
156	70.45837054
157	70.45827318
158	70.45807205
159	70.4579095
160	70.45744146
161	70.45720429
162	70.45705919
163	70.45694101
164	70.45671075
165	70.45644027
166	70.45620092
167	70.45600626
168	70.4555772
169	70.45536574
170	70.4551948
171	70.45500736
172	70.45492448
173	70.45455686
174	70.45448095
175	70.45419879
176	70.45408402
177	70.45394055
