iter	Passed	Remaining
0	11	11455
1	22	11187
2	32	10859
3	42	10675
4	53	10726
5	63	10593
6	74	10521
7	84	10497
8	95	10475
9	105	10480
10	116	10490
11	126	10444
12	137	10437
13	147	10407
14	157	10358
15	168	10340
16	178	10345
17	189	10321
18	199	10293
19	210	10308
20	220	10298
21	232	10317
22	243	10323
23	253	10294
24	263	10268
25	274	10274
26	284	10248
27	295	10245
28	305	10239
29	317	10264
30	329	10287
31	340	10304
32	351	10311
33	361	10275
34	372	10261
35	383	10258
36	393	10231
37	404	10228
38	414	10214
39	424	10199
40	435	10196
41	447	10205
42	458	10195
43	468	10184
44	479	10168
45	489	10155
46	501	10159
47	512	10155
48	522	10140
49	533	10145
50	544	10130
51	555	10129
52	567	10140
53	577	10123
54	588	10109
55	599	10101
56	610	10094
57	620	10075
58	631	10069
59	642	10059
60	652	10051
61	663	10037
62	673	10015
63	683	10001
64	694	9990
65	704	9974
66	715	9963
67	726	9955
68	736	9941
69	747	9926
70	757	9915
71	768	9898
72	777	9874
73	788	9860
74	798	9853
75	809	9843
76	820	9831
77	831	9823
78	841	9812
79	851	9795
80	861	9777
81	871	9761
82	881	9744
83	892	9736
84	904	9735
85	912	9696
86	923	9686
87	934	9682
88	944	9665
89	954	9655
90	965	9643
91	977	9650
92	989	9652
93	1001	9654
94	1013	9651
95	1024	9645
96	1035	9640
97	1046	9628
98	1056	9612
99	1066	9596
100	1077	9587
101	1087	9574
102	1097	9561
103	1108	9548
104	1119	9539
105	1129	9524
106	1139	9510
107	1149	9494
108	1159	9479
109	1170	9474
110	1181	9465
111	1192	9455
112	1203	9447
113	1214	9436
114	1224	9424
115	1235	9416
116	1246	9409
117	1258	9403
118	1269	9396
119	1280	9387
120	1290	9375
121	1301	9363
122	1312	9358
123	1324	9357
124	1335	9348
125	1346	9340
126	1356	9325
127	1367	9318
128	1378	9309
129	1388	9294
130	1399	9285
131	1410	9275
132	1420	9262
133	1431	9254
134	1442	9240
135	1452	9224
136	1462	9213
137	1473	9204
138	1483	9191
139	1494	9182
140	1506	9179
141	1517	9168
142	1525	9143
143	1536	9135
144	1547	9122
145	1557	9108
146	1567	9097
147	1579	9092
148	1589	9078
149	1599	9064
150	1609	9050
151	1619	9034
152	1629	9018
153	1640	9013
154	1651	9003
155	1661	8987
156	1671	8974
157	1681	8959
158	1692	8954
159	1704	8949
160	1716	8946
161	1729	8946
162	1740	8937
163	1751	8929
164	1763	8923
165	1773	8909
166	1783	8895
167	1793	8881
168	1803	8866
169	1813	8854
170	1825	8847
171	1834	8832
172	1845	8820
173	1855	8808
174	1865	8793
175	1876	8784
176	1886	8772
177	1898	8768
178	1909	8756
179	1919	8743
180	1929	8730
181	1940	8721
182	1950	8705
183	1959	8691
184	1970	8682
185	1981	8672
186	1992	8660
187	2001	8646
188	2012	8634
189	2023	8626
190	2034	8615
191	2044	8604
192	2056	8600
193	2066	8586
194	2076	8572
195	2086	8558
196	2097	8549
197	2106	8534
198	2116	8520
199	2126	8506
200	2137	8497
201	2149	8489
202	2159	8479
203	2170	8467
204	2180	8457
205	2190	8443
206	2200	8431
207	2211	8420
208	2221	8409
209	2233	8401
210	2243	8388
211	2253	8374
212	2264	8368
213	2274	8354
214	2284	8340
215	2294	8328
216	2304	8314
217	2314	8300
218	2324	8288
219	2334	8276
220	2344	8265
221	2355	8255
222	2367	8248
223	2377	8236
224	2389	8231
225	2399	8217
226	2409	8205
227	2420	8196
228	2432	8188
229	2442	8177
230	2452	8165
231	2462	8151
232	2473	8142
233	2483	8128
234	2495	8122
235	2507	8119
236	2520	8113
237	2530	8100
238	2540	8090
239	2552	8083
240	2563	8074
241	2576	8071
242	2588	8064
243	2599	8055
244	2608	8039
245	2621	8033
246	2632	8025
247	2642	8013
248	2652	8000
249	2663	7989
250	2675	7982
251	2686	7974
252	2698	7966
253	2708	7954
254	2719	7944
255	2728	7930
256	2740	7922
257	2751	7912
258	2762	7903
259	2774	7896
260	2784	7882
261	2793	7869
262	2803	7857
263	2813	7844
264	2823	7832
265	2835	7824
266	2846	7815
267	2857	7803
268	2868	7796
269	2879	7786
270	2890	7774
271	2900	7763
272	2910	7749
273	2920	7737
274	2930	7725
275	2939	7712
276	2950	7699
277	2960	7689
278	2973	7683
279	2984	7674
280	2994	7663
281	3005	7652
282	3015	7640
283	3025	7628
284	3035	7616
285	3046	7605
286	3056	7594
287	3066	7581
288	3078	7574
289	3089	7564
290	3100	7553
291	3111	7543
292	3122	7535
293	3132	7523
294	3144	7515
295	3154	7503
296	3165	7492
297	3175	7481
298	3187	7473
299	3198	7463
300	3209	7452
301	3219	7441
302	3231	7432
303	3241	7421
304	3251	7409
305	3263	7401
306	3274	7390
307	3284	7379
308	3294	7366
309	3304	7355
310	3314	7344
311	3324	7330
312	3335	7322
313	3347	7312
314	3356	7299
315	3367	7290
316	3378	7278
317	3388	7266
318	3399	7256
319	3410	7247
320	3422	7238
321	3432	7227
322	3445	7221
323	3455	7210
324	3467	7202
325	3480	7195
326	3489	7182
327	3499	7170
328	3511	7161
329	3521	7149
330	3531	7137
331	3541	7126
332	3552	7116
333	3563	7104
334	3573	7092
335	3584	7083
336	3594	7072
337	3604	7058
338	3615	7050
339	3626	7039
340	3636	7027
341	3646	7016
342	3658	7007
343	3669	6996
344	3679	6986
345	3690	6975
346	3700	6964
347	3711	6953
348	3722	6943
349	3733	6932
350	3743	6922
351	3753	6909
352	3763	6898
353	3774	6888
354	3784	6876
355	3794	6863
356	3804	6853
357	3815	6842
358	3825	6831
359	3835	6819
360	3846	6807
361	3856	6796
362	3867	6786
363	3879	6778
364	3892	6771
365	3903	6762
366	3916	6755
367	3927	6745
368	3938	6734
369	3948	6722
370	3958	6710
371	3968	6699
372	3979	6690
373	3990	6678
374	3999	6666
375	4010	6656
376	4021	6646
377	4032	6634
378	4042	6624
379	4052	6611
380	4062	6600
381	4072	6588
382	4082	6577
383	4093	6567
384	4104	6557
385	4114	6545
386	4125	6534
387	4135	6522
388	4145	6511
389	4156	6501
390	4166	6489
391	4177	6478
392	4188	6468
393	4198	6457
394	4209	6447
395	4220	6436
396	4229	6424
397	4240	6413
398	4251	6403
399	4260	6391
400	4270	6379
401	4281	6368
402	4292	6358
403	4302	6346
404	4312	6335
405	4322	6324
406	4334	6314
407	4345	6304
408	4355	6293
409	4368	6286
410	4381	6278
411	4392	6268
412	4403	6258
413	4413	6246
414	4423	6235
415	4433	6223
416	4442	6211
417	4453	6201
418	4463	6189
419	4473	6178
420	4483	6166
421	4493	6155
422	4503	6143
